,amplicon,mean,mean+2std,mean-2std,min
663,2-21262954-21263225-PGD139_APOB_216,5195.914438502674,6671.847710816475,3719.9811661888725,2339
54,1-25879284-25879514-PGD139_LDLRAP1_56,5196.2513368983955,8089.65340927136,2302.849264525431,2991
435,19-45409013-45409200-PGD139_APOE_2,5206.497326203208,7048.093108901727,3364.9015435046895,3349
582,2-21247939-21248189-PGD139_APOB_135,5210.064171122995,6953.935166339052,3466.193175906938,2959
190,1-55510944-55511201-PGD139_PCSK9_38,5235.417112299465,7073.09680559927,3397.73741899966,3321
414,19-11230781-11231020-PGD139_LDLR_47,5237.0213903743315,6999.430469334386,3474.612311414277,1852
646,2-21260014-21260250-PGD139_APOB_199,5237.1604278074865,6875.3236346330805,3598.9972209818925,2903
714,8-19810653-19810867-PGD139_LPL_9,5250.893048128342,6599.465450297268,3902.320645959416,3436
716,8-19810918-19811090-PGD139_LPL_11,5257.032085561497,7401.506674983609,3112.557496139386,3535
491,2-21231799-21232047-PGD139_APOB_44,5267.336898395722,6860.579468641393,3674.0943281500504,2550
558,2-21243852-21244091-PGD139_APOB_111,5285.663101604278,7391.420247255276,3179.9059559532807,2796
96,1-25886211-25886455-PGD139_LDLRAP1_98,5290.5187165775405,7374.568159185941,3206.4692739691395,3015
326,10-91007169-91007419-PGD139_LIPA_23,5295.935828877005,7362.871565245801,3229.000092508209,1370
429,19-11240212-11240425-PGD139_LDLR_62,5299.438502673796,6918.362305849816,3680.5146994977767,3638
370,19-11200171-11200393-PGD139_LDLR_3,5304.508021390375,7656.274023291549,2952.7420194892,1021
630,2-21257331-21257556-PGD139_APOB_183,5309.524064171123,7328.243367765228,3290.804760577019,2805
69,1-25881694-25881923-PGD139_LDLRAP1_71,5311.438502673796,7632.678521871826,2990.198483475767,3347
231,1-55518030-55518279-PGD139_PCSK9_79,5314.909090909091,6651.129289221226,3978.688892596956,2403
